Variável,Valor
"Gr[4,7]",0.0
"Gr[4,8]",0.0
"Gr[4,9]",0.0
"Gr[5,0]",0.0
"Gr[5,1]",0.0
"Gr[5,2]",0.0
"Gr[5,3]",0.0
"Gr[5,4]",0.0
"Gr[5,5]",0.0
"Gr[5,6]",0.0
"Gr[5,7]",0.0
"Gr[5,8]",0.0
"Gr[5,9]",0.0
"Gr[6,0]",0.0
"Gr[6,1]",0.0
"Gr[6,2]",0.0
"Gr[6,3]",0.0
"Gr[6,4]",312.9669833494023
"Gr[6,5]",0.0
"Gr[6,6]",0.0
"Gr[6,7]",0.0
"Gr[6,8]",0.0
"Gr[6,9]",0.0
"Gr[7,0]",0.0
"Gr[7,1]",0.0
"Gr[7,2]",0.0
"Gr[7,3]",0.0
"Gr[7,4]",0.0
"Gr[7,5]",0.0
"Gr[7,6]",0.0
"Gr[7,7]",0.0
"Gr[7,8]",2606.546196907372
"Gr[7,9]",0.0
"Gr[8,0]",0.0
"Gr[8,1]",0.0
"Gr[8,2]",0.0
"Gr[8,3]",0.0
"Gr[8,4]",0.0
"Gr[8,5]",0.0
"Gr[8,6]",0.0
"Gr[8,7]",0.0
"Gr[8,8]",0.0
"Gr[8,9]",0.0
"Gr[9,0]",0.0
"Gr[9,1]",0.0
"Gr[9,2]",0.0
"Gr[9,3]",0.0
"Gr[9,4]",0.0
"Gr[9,5]",0.0
"Gr[9,6]",0.0
"Gr[9,7]",0.0
"Gr[9,8]",0.0
"Gr[9,9]",0.0
"Gw[0,0]",0.0
"Gw[0,1]",0.0
"Gw[0,2]",0.0
"Gw[0,3]",0.0
"Gw[0,4]",0.0
"Gw[0,5]",0.0
"Gw[0,6]",0.0
"Gw[0,7]",0.0
"Gw[0,8]",0.0
"Gw[0,9]",0.0
"Gw[1,0]",0.0
"Gw[1,1]",0.0
"Gw[1,2]",0.0
"Gw[1,3]",0.0
"Gw[1,4]",0.0
"Gw[1,5]",0.0
"Gw[1,6]",0.0
"Gw[1,7]",0.0
"Gw[1,8]",0.0
"Gw[1,9]",0.0
"Gw[2,0]",0.0
"Gw[2,1]",0.0
"Gw[2,2]",0.0
"Gw[2,3]",0.0
"Gw[2,4]",0.0
"Gw[2,5]",0.0
"Gw[2,6]",0.0
"Gw[2,7]",0.0
"Gw[2,8]",0.0
"Gw[2,9]",0.0
"Gw[3,0]",0.0
"Gw[3,1]",0.0
"Gw[3,2]",0.0
"Gw[3,3]",0.0
"Gw[3,4]",0.0
"Gw[3,5]",0.0
"Gw[3,6]",0.0
"Gw[3,7]",0.0
"Gw[3,8]",0.0
"Gw[3,9]",0.0
"Gw[4,0]",0.0
"Gw[4,1]",0.0
"Gw[4,2]",0.0
"Gw[4,3]",0.0
"Gw[4,4]",0.0
"Gw[4,5]",0.0
"Gw[4,6]",0.0
"Gw[4,7]",0.0
"Gw[4,8]",0.0
"Gw[4,9]",0.0
"Gw[5,0]",0.0
"Gw[5,1]",0.0
"Gw[5,2]",0.0
"Gw[5,3]",0.0
"Gw[5,4]",0.0
"Gw[5,5]",0.0
