Instance,Algorithm,Operator,Evaluations,Success,% Improvement
Problem_800,VNS_SwapETN,Swap,17,1,0.2576437089855727
Problem_800,VNS_SwapETN,Swap,32,0,0.0
Problem_800,VNS_SwapETN,Swap,47,0,0.0
Problem_800,VNS_SwapETN,Swap,62,1,0.4464104273667582
Problem_800,VNS_SwapETN,Swap,77,0,0.0
Problem_800,VNS_SwapETN,Swap,92,0,0.0
Problem_800,VNS_SwapETN,Swap,107,0,0.0
Problem_800,VNS_SwapETN,Swap,122,0,0.0
Problem_800,VNS_SwapETN,Swap,137,1,0.4533563811614404
Problem_800,VNS_SwapETN,Swap,152,0,0.0
Problem_800,VNS_SwapETN,Swap,167,0,0.0
Problem_800,VNS_SwapETN,Swap,182,1,0.5506816309279168
Problem_800,VNS_SwapETN,Swap,197,0,0.0
Problem_800,VNS_SwapETN,Swap,212,0,0.0
Problem_800,VNS_SwapETN,Swap,227,1,0.5510003292464781
Problem_800,VNS_SwapETN,Swap,242,0,0.0
Problem_800,VNS_SwapETN,Swap,257,0,0.0
Problem_800,VNS_SwapETN,Swap,272,0,0.0
Problem_800,VNS_SwapETN,Swap,287,1,0.6238122949358554
Problem_800,VNS_SwapETN,Swap,302,0,0.0
Problem_800,VNS_SwapETN,Swap,317,0,0.0
Problem_800,VNS_SwapETN,Swap,332,1,0.681488597713565
Problem_800,VNS_SwapETN,Swap,347,0,0.0
Problem_800,VNS_SwapETN,Swap,362,0,0.0
Problem_800,VNS_SwapETN,Swap,377,0,0.0
Problem_800,VNS_SwapETN,Swap,392,0,0.0
Problem_800,VNS_SwapETN,Swap,423,0,0.0
Problem_800,VNS_SwapETN,Swap,438,0,0.0
Problem_800,VNS_SwapETN,Swap,453,1,0.008416784626726358
Problem_800,VNS_SwapETN,Swap,468,0,0.0
Problem_800,VNS_SwapETN,Swap,483,1,0.008464319371967587
Problem_800,VNS_SwapETN,Swap,498,0,0.0
Problem_800,VNS_SwapETN,Swap,513,1,0.20395594710075943
Problem_800,VNS_SwapETN,Swap,528,1,0.3470303611686896
Problem_800,VNS_SwapETN,Swap,543,0,0.0
Problem_800,VNS_SwapETN,Swap,558,1,0.5910712264478828
Problem_800,VNS_SwapETN,Swap,573,1,0.7594911925673986
Problem_800,VNS_SwapETN,Swap,588,1,1.0066710109910841
Problem_800,VNS_SwapETN,Swap,603,1,1.0104198586616608
Problem_800,VNS_SwapETN,Swap,618,0,0.0
Problem_800,VNS_SwapETN,Swap,633,0,0.0
Problem_800,VNS_SwapETN,Swap,648,0,0.0
Problem_800,VNS_SwapETN,Swap,663,0,0.0
Problem_800,VNS_SwapETN,Swap,694,1,0.0012845245855115548
Problem_800,VNS_SwapETN,Swap,709,1,0.11115878117240807
Problem_800,VNS_SwapETN,Swap,724,1,0.11120000043212652
Problem_800,VNS_SwapETN,Swap,739,0,0.0
Problem_800,VNS_SwapETN,Swap,754,0,0.0
Problem_800,VNS_SwapETN,Swap,769,1,0.11164962927458996
Problem_800,VNS_SwapETN,Swap,784,0,0.0
Problem_800,VNS_SwapETN,Swap,799,0,0.0
Problem_800,VNS_SwapETN,Swap,814,1,0.11199882553708565
Problem_800,VNS_SwapETN,Swap,829,1,0.11251583961488
Problem_800,VNS_SwapETN,Swap,844,0,0.0
Problem_800,VNS_SwapETN,Swap,859,0,0.0
Problem_800,VNS_SwapETN,Swap,874,1,0.12278380009600263
Problem_800,VNS_SwapETN,Swap,889,0,0.0
Problem_800,VNS_SwapETN,Swap,904,1,0.20317276840286747
Problem_800,VNS_SwapETN,Swap,919,1,0.383486257188274
Problem_800,VNS_SwapETN,Swap,934,1,0.4926751293896667
Problem_800,VNS_SwapETN,Swap,949,1,0.6482997834611952
Problem_800,VNS_SwapETN,Swap,964,0,0.0
Problem_800,VNS_SwapETN,Swap,979,0,0.0
Problem_800,VNS_SwapETN,Swap,994,0,0.0
Problem_800,VNS_SwapETN,Swap,1009,1,0.6542609517587029
Problem_800,VNS_SwapETN,Swap,1024,0,0.0
Problem_800,VNS_SwapETN,Swap,1039,1,0.8298834159816852
Problem_800,VNS_SwapETN,Swap,1054,1,0.9727170419854272
Problem_800,VNS_SwapETN,Swap,1069,0,0.0
Problem_800,VNS_SwapETN,Swap,1084,0,0.0
Problem_800,VNS_SwapETN,Swap,1099,0,0.0
Problem_800,VNS_SwapETN,Swap,1114,0,0.0
Problem_800,VNS_SwapETN,Swap,1145,0,0.0
Problem_800,VNS_SwapETN,Swap,1160,1,0.08622755110875416
Problem_800,VNS_SwapETN,Swap,1175,0,0.0
Problem_800,VNS_SwapETN,Swap,1190,0,0.0
Problem_800,VNS_SwapETN,Swap,1205,0,0.0
Problem_800,VNS_SwapETN,Swap,1220,0,0.0
Problem_800,VNS_SwapETN,Swap,1251,0,0.0
Problem_800,VNS_SwapETN,Swap,1266,0,0.0
Problem_800,VNS_SwapETN,Swap,1281,1,0.09860761011693299
Problem_800,VNS_SwapETN,Swap,1296,1,0.20838785056626394
Problem_800,VNS_SwapETN,Swap,1311,1,0.2705715062023668
Problem_800,VNS_SwapETN,Swap,1326,0,0.0
Problem_800,VNS_SwapETN,Swap,1341,1,0.3422104175584585
Problem_800,VNS_SwapETN,Swap,1356,1,0.39036992961701356
Problem_800,VNS_SwapETN,Swap,1371,0,0.0
Problem_800,VNS_SwapETN,Swap,1386,0,0.0
Problem_800,VNS_SwapETN,Swap,1401,0,0.0
Problem_800,VNS_SwapETN,Swap,1416,0,0.0
Problem_800,VNS_SwapETN,Swap,1431,1,0.7843017494286024
Problem_800,VNS_SwapETN,Swap,1446,1,0.8539034995764382
Problem_800,VNS_SwapETN,Swap,1461,0,0.0
Problem_800,VNS_SwapETN,Swap,1476,1,1.0139837810354948
Problem_800,VNS_SwapETN,Swap,1491,1,1.2454300286387565
Problem_800,VNS_SwapETN,Swap,1506,1,1.2457485193202622
Problem_800,VNS_SwapETN,Swap,1521,0,0.0
Problem_800,VNS_SwapETN,Swap,1536,1,1.695806916183187
Problem_800,VNS_SwapETN,Swap,1551,0,0.0
Problem_800,VNS_SwapETN,Swap,1566,0,0.0
Problem_800,VNS_SwapETN,Swap,1581,1,1.6972797674485907
Problem_800,VNS_SwapETN,Swap,1596,1,1.6977113729351248
Problem_800,VNS_SwapETN,Swap,1611,0,0.0
Problem_800,VNS_SwapETN,Swap,1626,0,0.0
Problem_800,VNS_SwapETN,Swap,1641,0,0.0
Problem_800,VNS_SwapETN,Swap,1656,1,1.698542427830786
Problem_800,VNS_SwapETN,Swap,1671,0,0.0
Problem_800,VNS_SwapETN,Swap,1686,0,0.0
Problem_800,VNS_SwapETN,Swap,1701,0,0.0
Problem_800,VNS_SwapETN,Swap,1716,0,0.0
Problem_800,VNS_SwapETN,Swap,1747,0,0.0
Problem_800,VNS_SwapETN,Swap,1762,1,0.00010669656319895658
