Instance,Algorithm,Operator,Evaluations,Success,% Improvement
Problem_100,VNS_ETN,ETN,17,0,0.0
Problem_100,VNS_ETN,ETN,32,0,0.0
Problem_100,VNS_ETN,ETN,47,0,0.0
Problem_100,VNS_ETN,ETN,62,0,0.0
Problem_100,VNS_ETN,RS,93,1,1.497441172372831
Problem_100,VNS_ETN,RS,108,1,18.79136082862472
Problem_100,VNS_ETN,RS,123,1,24.26284684861959
Problem_100,VNS_ETN,RS,138,0,0.0
Problem_100,VNS_ETN,RS,153,1,25.60103348969966
Problem_100,VNS_ETN,RS,168,1,25.62451900779097
Problem_100,VNS_ETN,RS,183,1,25.77626895680931
Problem_100,VNS_ETN,RS,198,1,25.86968138471034
Problem_100,VNS_ETN,RS,213,1,25.87708511455707
Problem_100,VNS_ETN,RS,228,1,25.938375503713235
Problem_100,VNS_ETN,RS,243,1,27.979623164140765
Problem_100,VNS_ETN,RS,258,1,28.024468582891295
Problem_100,VNS_ETN,RS,273,1,28.031224924776293
Problem_100,VNS_ETN,RS,288,1,28.146328739229435
Problem_100,VNS_ETN,RS,303,1,28.228609058189953
Problem_100,VNS_ETN,RS,318,0,0.0
Problem_100,VNS_ETN,RS,333,1,28.241825286923046
Problem_100,VNS_ETN,RS,348,1,28.252806489815995
Problem_100,VNS_ETN,RS,363,1,28.318600022998165
Problem_100,VNS_ETN,RS,378,0,0.0
Problem_100,VNS_ETN,RS,393,1,28.325779886865572
Problem_100,VNS_ETN,RS,408,0,0.0
Problem_100,VNS_ETN,RS,423,0,0.0
Problem_100,VNS_ETN,RS,438,0,0.0
Problem_100,VNS_ETN,RS,453,0,0.0
Problem_100,VNS_ETN,ETN,484,0,0.0
Problem_100,VNS_ETN,ETN,499,0,0.0
Problem_100,VNS_ETN,ETN,514,0,0.0
Problem_100,VNS_ETN,ETN,529,0,0.0
Problem_100,VNS_ETN,RS,560,0,0.0
Problem_100,VNS_ETN,RS,575,1,0.15953525743023708
Problem_100,VNS_ETN,RS,590,1,0.18862940351663895
Problem_100,VNS_ETN,RS,605,1,0.19589159949467522
Problem_100,VNS_ETN,RS,620,0,0.0
Problem_100,VNS_ETN,RS,635,1,0.6510648705659402
Problem_100,VNS_ETN,RS,650,0,0.0
Problem_100,VNS_ETN,RS,665,0,0.0
Problem_100,VNS_ETN,RS,680,0,0.0
Problem_100,VNS_ETN,RS,695,1,0.6547014121661656
Problem_100,VNS_ETN,RS,710,0,0.0
Problem_100,VNS_ETN,RS,725,0,0.0
Problem_100,VNS_ETN,RS,740,0,0.0
Problem_100,VNS_ETN,RS,755,0,0.0
Problem_100,VNS_ETN,RS,770,1,0.6578370103168143
Problem_100,VNS_ETN,RS,785,0,0.0
Problem_100,VNS_ETN,RS,800,0,0.0
Problem_100,VNS_ETN,RS,815,0,0.0
Problem_100,VNS_ETN,RS,830,0,0.0
Problem_100,VNS_ETN,RS,845,1,0.6615364734544626
Problem_100,VNS_ETN,RS,860,1,0.6627638591492816
Problem_100,VNS_ETN,RS,875,1,0.7439519306407756
Problem_100,VNS_ETN,RS,890,1,0.755057831226452
Problem_100,VNS_ETN,RS,905,1,0.7645823409130874
Problem_100,VNS_ETN,RS,920,0,0.0
Problem_100,VNS_ETN,RS,935,0,0.0
Problem_100,VNS_ETN,RS,950,0,0.0
Problem_100,VNS_ETN,RS,965,0,0.0
Problem_100,VNS_ETN,ETN,996,0,0.0
Problem_100,VNS_ETN,ETN,1011,0,0.0
Problem_100,VNS_ETN,ETN,1026,0,0.0
Problem_100,VNS_ETN,ETN,1041,0,0.0
Problem_100,VNS_ETN,RS,1072,0,0.0
Problem_100,VNS_ETN,RS,1087,0,0.0
Problem_100,VNS_ETN,RS,1102,1,0.05363501724406459
Problem_100,VNS_ETN,RS,1117,1,0.09175290533402568
Problem_100,VNS_ETN,RS,1132,0,0.0
Problem_100,VNS_ETN,RS,1147,0,0.0
Problem_100,VNS_ETN,RS,1162,0,0.0
Problem_100,VNS_ETN,RS,1177,0,0.0
Problem_100,VNS_ETN,ETN,1208,0,0.0
Problem_100,VNS_ETN,ETN,1223,0,0.0
Problem_100,VNS_ETN,ETN,1238,0,0.0
Problem_100,VNS_ETN,ETN,1253,0,0.0
Problem_100,VNS_ETN,RS,1284,0,0.0
Problem_100,VNS_ETN,RS,1299,1,0.018091989341976
Problem_100,VNS_ETN,RS,1314,0,0.0
Problem_100,VNS_ETN,RS,1329,0,0.0
Problem_100,VNS_ETN,RS,1344,0,0.0
Problem_100,VNS_ETN,RS,1359,1,0.09719380202308879
Problem_100,VNS_ETN,RS,1374,0,0.0
Problem_100,VNS_ETN,RS,1389,0,0.0
Problem_100,VNS_ETN,RS,1404,0,0.0
Problem_100,VNS_ETN,RS,1419,0,0.0
Problem_100,VNS_ETN,SPS,1450,0,0.0
Problem_100,VNS_ETN,SPS,1465,1,0.019329415579260975
Problem_100,VNS_ETN,SPS,1480,0,0.0
Problem_100,VNS_ETN,SPS,1495,0,0.0
Problem_100,VNS_ETN,SPS,1510,1,0.0705972971825769
Problem_100,VNS_ETN,SPS,1525,0,0.0
Problem_100,VNS_ETN,SPS,1540,0,0.0
Problem_100,VNS_ETN,SPS,1555,1,0.11128044351230182
Problem_100,VNS_ETN,SPS,1570,0,0.0
Problem_100,VNS_ETN,SPS,1585,0,0.0
Problem_100,VNS_ETN,SPS,1600,0,0.0
Problem_100,VNS_ETN,SPS,1615,0,0.0
Problem_100,VNS_ETN,SPS,1630,1,0.11954474160726625
Problem_100,VNS_ETN,SPS,1645,1,0.13222612942687761
Problem_100,VNS_ETN,SPS,1660,0,0.0
Problem_100,VNS_ETN,SPS,1675,0,0.0
Problem_100,VNS_ETN,SPS,1690,1,0.16822398580606432
Problem_100,VNS_ETN,SPS,1705,0,0.0
Problem_100,VNS_ETN,SPS,1720,0,0.0
Problem_100,VNS_ETN,SPS,1735,0,0.0
Problem_100,VNS_ETN,SPS,1750,0,0.0
Problem_100,VNS_ETN,ETN,1781,0,0.0
Problem_100,VNS_ETN,ETN,1796,0,0.0
Problem_100,VNS_ETN,ETN,1811,0,0.0
Problem_100,VNS_ETN,ETN,1826,0,0.0
Problem_100,VNS_ETN,RS,1857,1,0.012298228198388524
Problem_100,VNS_ETN,RS,1872,0,0.0
Problem_100,VNS_ETN,RS,1887,1,0.018256187135822825
Problem_100,VNS_ETN,RS,1902,1,0.036770100608055384
Problem_100,VNS_ETN,RS,1917,0,0.0
Problem_100,VNS_ETN,RS,1932,0,0.0
Problem_100,VNS_ETN,RS,1947,0,0.0
Problem_100,VNS_ETN,RS,1962,0,0.0
Problem_100,VNS_ETN,RS,1977,1,0.05004003556767263
Problem_100,VNS_ETN,RS,1992,1,0.05057038977097652
Problem_100,VNS_ETN,RS,2007,1,0.08800204637158611
Problem_100,VNS_ETN,RS,2022,0,0.0
Problem_100,VNS_ETN,RS,2037,0,0.0
Problem_100,VNS_ETN,RS,2052,0,0.0
Problem_100,VNS_ETN,RS,2067,0,0.0
Problem_100,VNS_ETN,ETN,2098,0,0.0
Problem_100,VNS_ETN,ETN,2113,0,0.0
Problem_100,VNS_ETN,ETN,2128,0,0.0
Problem_100,VNS_ETN,ETN,2143,0,0.0
Problem_100,VNS_ETN,RS,2174,1,0.12340885541436605
Problem_100,VNS_ETN,RS,2189,1,0.8215868445894664
Problem_100,VNS_ETN,RS,2204,1,1.065890743210481
Problem_100,VNS_ETN,RS,2219,1,1.176496118532081
Problem_100,VNS_ETN,RS,2234,1,1.1893241586679986
Problem_100,VNS_ETN,RS,2249,1,1.2016541135370495
Problem_100,VNS_ETN,RS,2264,0,0.0
Problem_100,VNS_ETN,RS,2279,1,1.2223559866617626
Problem_100,VNS_ETN,RS,2294,1,1.423422153596814
Problem_100,VNS_ETN,RS,2309,0,0.0
Problem_100,VNS_ETN,RS,2324,0,0.0
Problem_100,VNS_ETN,RS,2339,1,1.7746634077839365
Problem_100,VNS_ETN,RS,2354,1,1.7903659459172363
Problem_100,VNS_ETN,RS,2369,1,1.9451281552178967
Problem_100,VNS_ETN,RS,2384,0,0.0
Problem_100,VNS_ETN,RS,2399,1,1.9584002748518872
Problem_100,VNS_ETN,RS,2414,1,1.9701327950692422
Problem_100,VNS_ETN,RS,2429,1,17.655514807143522
Problem_100,VNS_ETN,RS,2444,1,18.649999256752654
Problem_100,VNS_ETN,RS,2459,0,0.0
Problem_100,VNS_ETN,RS,2474,0,0.0
Problem_100,VNS_ETN,RS,2489,0,0.0
Problem_100,VNS_ETN,RS,2504,0,0.0
Problem_100,VNS_ETN,ETN,2535,0,0.0
Problem_100,VNS_ETN,ETN,2550,0,0.0
Problem_100,VNS_ETN,ETN,2565,0,0.0
Problem_100,VNS_ETN,ETN,2580,1,0.0008027200542298981
