Instance,Algorithm,Operator,Evaluations,Success,% Improvement
Problem_100,VNS_ETN,ETN,17,0,0.0
Problem_100,VNS_ETN,ETN,32,0,0.0
Problem_100,VNS_ETN,ETN,47,0,0.0
Problem_100,VNS_ETN,ETN,62,0,0.0
Problem_100,VNS_ETN,ETN,77,1,1.111146819042231
Problem_100,VNS_ETN,ETN,92,0,0.0
Problem_100,VNS_ETN,ETN,107,1,1.6978268460444375
Problem_100,VNS_ETN,ETN,122,0,0.0
Problem_100,VNS_ETN,ETN,137,0,0.0
Problem_100,VNS_ETN,ETN,152,1,1.7041679257482765
Problem_100,VNS_ETN,ETN,167,1,1.708440376123555
Problem_100,VNS_ETN,ETN,182,0,0.0
Problem_100,VNS_ETN,ETN,197,1,1.8845613081401862
Problem_100,VNS_ETN,ETN,212,0,0.0
Problem_100,VNS_ETN,ETN,227,0,0.0
Problem_100,VNS_ETN,ETN,242,0,0.0
Problem_100,VNS_ETN,ETN,257,0,0.0
Problem_100,VNS_ETN,ETN,272,1,1.8941658375381913
Problem_100,VNS_ETN,ETN,287,0,0.0
Problem_100,VNS_ETN,ETN,302,0,0.0
Problem_100,VNS_ETN,ETN,317,0,0.0
Problem_100,VNS_ETN,ETN,332,0,0.0
Problem_100,VNS_ETN,ETN,363,0,0.0
Problem_100,VNS_ETN,ETN,378,0,0.0
Problem_100,VNS_ETN,ETN,393,0,0.0
Problem_100,VNS_ETN,ETN,408,0,0.0
Problem_100,VNS_ETN,RS,439,1,0.18433764942271078
Problem_100,VNS_ETN,RS,454,1,1.2321840851691206
Problem_100,VNS_ETN,RS,469,1,4.520047604589443
Problem_100,VNS_ETN,RS,484,1,4.662533929723088
Problem_100,VNS_ETN,RS,499,1,4.840097797478721
Problem_100,VNS_ETN,RS,514,0,0.0
Problem_100,VNS_ETN,RS,529,1,4.88702201972764
Problem_100,VNS_ETN,RS,544,0,0.0
Problem_100,VNS_ETN,RS,559,0,0.0
Problem_100,VNS_ETN,RS,574,1,7.4334233456785945
Problem_100,VNS_ETN,RS,589,0,0.0
Problem_100,VNS_ETN,RS,604,0,0.0
Problem_100,VNS_ETN,RS,619,0,0.0
Problem_100,VNS_ETN,RS,634,0,0.0
Problem_100,VNS_ETN,RS,649,1,7.825675902025038
Problem_100,VNS_ETN,RS,664,1,8.642164787013245
Problem_100,VNS_ETN,RS,679,0,0.0
Problem_100,VNS_ETN,RS,694,0,0.0
Problem_100,VNS_ETN,RS,709,0,0.0
Problem_100,VNS_ETN,RS,724,1,8.751059240422416
Problem_100,VNS_ETN,RS,739,0,0.0
Problem_100,VNS_ETN,RS,754,0,0.0
Problem_100,VNS_ETN,RS,769,1,10.34493625345816
Problem_100,VNS_ETN,RS,784,0,0.0
Problem_100,VNS_ETN,RS,799,1,10.352624405598828
Problem_100,VNS_ETN,RS,814,1,10.369637010067105
Problem_100,VNS_ETN,RS,829,0,0.0
Problem_100,VNS_ETN,RS,844,0,0.0
Problem_100,VNS_ETN,RS,859,0,0.0
Problem_100,VNS_ETN,RS,874,0,0.0
Problem_100,VNS_ETN,ETN,905,0,0.0
Problem_100,VNS_ETN,ETN,920,0,0.0
Problem_100,VNS_ETN,ETN,935,0,0.0
Problem_100,VNS_ETN,ETN,950,0,0.0
Problem_100,VNS_ETN,RS,981,0,0.0
Problem_100,VNS_ETN,RS,996,0,0.0
Problem_100,VNS_ETN,RS,1011,1,2.290413485989935
Problem_100,VNS_ETN,RS,1026,1,4.897486637183786
Problem_100,VNS_ETN,RS,1041,0,0.0
Problem_100,VNS_ETN,RS,1056,1,15.378830892436953
Problem_100,VNS_ETN,RS,1071,1,15.582499858983132
Problem_100,VNS_ETN,RS,1086,1,15.702633829099005
Problem_100,VNS_ETN,RS,1101,1,15.745943549424418
Problem_100,VNS_ETN,RS,1116,1,15.750075661893959
Problem_100,VNS_ETN,RS,1131,1,15.76528872436648
Problem_100,VNS_ETN,RS,1146,1,16.608342520487597
Problem_100,VNS_ETN,RS,1161,1,16.626179791946015
Problem_100,VNS_ETN,RS,1176,1,16.693249605225553
Problem_100,VNS_ETN,RS,1191,1,16.72062461447559
Problem_100,VNS_ETN,RS,1206,1,16.819162061496186
Problem_100,VNS_ETN,RS,1221,0,0.0
Problem_100,VNS_ETN,RS,1236,1,22.47504201729592
Problem_100,VNS_ETN,RS,1251,1,22.917414730100887
Problem_100,VNS_ETN,RS,1266,1,23.15600927913666
Problem_100,VNS_ETN,RS,1281,1,23.260668689764394
Problem_100,VNS_ETN,RS,1296,1,23.271899666224954
Problem_100,VNS_ETN,RS,1311,1,23.42210115490526
Problem_100,VNS_ETN,RS,1326,0,0.0
Problem_100,VNS_ETN,RS,1341,1,23.49267528260733
Problem_100,VNS_ETN,RS,1356,0,0.0
Problem_100,VNS_ETN,RS,1371,0,0.0
Problem_100,VNS_ETN,RS,1386,1,23.786918958695946
Problem_100,VNS_ETN,RS,1401,0,0.0
Problem_100,VNS_ETN,RS,1416,1,23.79016116278744
Problem_100,VNS_ETN,RS,1431,0,0.0
Problem_100,VNS_ETN,RS,1446,0,0.0
Problem_100,VNS_ETN,RS,1461,0,0.0
Problem_100,VNS_ETN,RS,1476,0,0.0
Problem_100,VNS_ETN,ETN,1507,1,6.532607187015456e-06
Problem_100,VNS_ETN,ETN,1522,0,0.0
Problem_100,VNS_ETN,ETN,1537,0,0.0
Problem_100,VNS_ETN,ETN,1552,0,0.0
Problem_100,VNS_ETN,ETN,1567,0,0.0
Problem_100,VNS_ETN,ETN,1598,0,0.0
Problem_100,VNS_ETN,ETN,1613,0,0.0
Problem_100,VNS_ETN,ETN,1628,0,0.0
Problem_100,VNS_ETN,ETN,1643,1,0.0028741914738585716
Problem_100,VNS_ETN,ETN,1658,0,0.0
Problem_100,VNS_ETN,ETN,1673,1,0.005904930870560578
Problem_100,VNS_ETN,ETN,1688,1,0.00838699035334042
Problem_100,VNS_ETN,ETN,1703,0,0.0
Problem_100,VNS_ETN,ETN,1718,0,0.0
Problem_100,VNS_ETN,ETN,1733,0,0.0
Problem_100,VNS_ETN,ETN,1748,0,0.0
Problem_100,VNS_ETN,ETN,1779,0,0.0
Problem_100,VNS_ETN,ETN,1794,0,0.0
Problem_100,VNS_ETN,ETN,1809,0,0.0
Problem_100,VNS_ETN,ETN,1824,1,0.003363678910292811
Problem_100,VNS_ETN,ETN,1839,0,0.0
Problem_100,VNS_ETN,ETN,1854,0,0.0
Problem_100,VNS_ETN,ETN,1869,0,0.0
Problem_100,VNS_ETN,ETN,1884,0,0.0
Problem_100,VNS_ETN,ETN,1915,0,0.0
Problem_100,VNS_ETN,ETN,1930,0,0.0
Problem_100,VNS_ETN,ETN,1945,1,0.0003496977952233465
Problem_100,VNS_ETN,ETN,1960,0,0.0
Problem_100,VNS_ETN,ETN,1975,0,0.0
Problem_100,VNS_ETN,ETN,1990,0,0.0
Problem_100,VNS_ETN,ETN,2005,0,0.0
Problem_100,VNS_ETN,ETN,2036,0,0.0
Problem_100,VNS_ETN,ETN,2051,0,0.0
Problem_100,VNS_ETN,ETN,2066,0,0.0
Problem_100,VNS_ETN,ETN,2081,0,0.0
Problem_100,VNS_ETN,ETN,2096,1,0.000720358095859295
Problem_100,VNS_ETN,ETN,2111,0,0.0
Problem_100,VNS_ETN,ETN,2126,0,0.0
Problem_100,VNS_ETN,ETN,2141,1,0.0026982752630158643
Problem_100,VNS_ETN,ETN,2156,1,0.004140471160771796
Problem_100,VNS_ETN,ETN,2171,0,0.0
Problem_100,VNS_ETN,ETN,2186,1,0.006795164457704292
Problem_100,VNS_ETN,ETN,2201,0,0.0
Problem_100,VNS_ETN,ETN,2216,0,0.0
Problem_100,VNS_ETN,ETN,2231,1,0.009752489419484403
Problem_100,VNS_ETN,ETN,2246,0,0.0
Problem_100,VNS_ETN,ETN,2261,0,0.0
Problem_100,VNS_ETN,ETN,2276,1,0.009758217879495774
Problem_100,VNS_ETN,ETN,2291,0,0.0
Problem_100,VNS_ETN,ETN,2306,0,0.0
Problem_100,VNS_ETN,ETN,2321,1,0.01937124114108026
Problem_100,VNS_ETN,ETN,2336,0,0.0
Problem_100,VNS_ETN,ETN,2351,0,0.0
Problem_100,VNS_ETN,ETN,2366,0,0.0
Problem_100,VNS_ETN,ETN,2381,0,0.0
Problem_100,VNS_ETN,ETN,2396,1,0.019835354910134058
Problem_100,VNS_ETN,ETN,2411,0,0.0
Problem_100,VNS_ETN,ETN,2426,0,0.0
Problem_100,VNS_ETN,ETN,2441,0,0.0
Problem_100,VNS_ETN,ETN,2456,0,0.0
Problem_100,VNS_ETN,ETN,2487,0,0.0
Problem_100,VNS_ETN,ETN,2502,0,0.0
Problem_100,VNS_ETN,ETN,2517,0,0.0
Problem_100,VNS_ETN,ETN,2532,1,0.003426004026004671
