Instance,Algorithm,Operator,Evaluations,Success,% Improvement
Problem_400,VNS_ETN,ETN,17,0,0.0
Problem_400,VNS_ETN,ETN,32,0,0.0
Problem_400,VNS_ETN,ETN,47,1,0.08558165719167388
Problem_400,VNS_ETN,ETN,62,0,0.0
Problem_400,VNS_ETN,ETN,77,0,0.0
Problem_400,VNS_ETN,ETN,92,0,0.0
Problem_400,VNS_ETN,ETN,107,0,0.0
Problem_400,VNS_ETN,ETN,138,0,0.0
Problem_400,VNS_ETN,ETN,153,0,0.0
Problem_400,VNS_ETN,ETN,168,0,0.0
Problem_400,VNS_ETN,ETN,183,1,0.2078498176777869
Problem_400,VNS_ETN,ETN,198,1,0.7971032299115706
Problem_400,VNS_ETN,ETN,213,0,0.0
Problem_400,VNS_ETN,ETN,228,0,0.0
Problem_400,VNS_ETN,ETN,243,0,0.0
Problem_400,VNS_ETN,ETN,258,0,0.0
Problem_400,VNS_ETN,ETN,289,0,0.0
Problem_400,VNS_ETN,ETN,304,1,0.003459359674341842
Problem_400,VNS_ETN,ETN,319,0,0.0
Problem_400,VNS_ETN,ETN,334,0,0.0
Problem_400,VNS_ETN,ETN,349,0,0.0
Problem_400,VNS_ETN,ETN,364,0,0.0
Problem_400,VNS_ETN,ETN,395,0,0.0
Problem_400,VNS_ETN,ETN,410,1,0.22092045147655884
Problem_400,VNS_ETN,ETN,425,0,0.0
Problem_400,VNS_ETN,ETN,440,0,0.0
Problem_400,VNS_ETN,ETN,455,0,0.0
Problem_400,VNS_ETN,ETN,470,1,0.3055574076746388
Problem_400,VNS_ETN,ETN,485,1,1.2380886349809797
Problem_400,VNS_ETN,ETN,500,0,0.0
Problem_400,VNS_ETN,ETN,515,1,1.3586431203860319
Problem_400,VNS_ETN,ETN,530,0,0.0
Problem_400,VNS_ETN,ETN,545,0,0.0
Problem_400,VNS_ETN,ETN,560,0,0.0
Problem_400,VNS_ETN,ETN,575,0,0.0
Problem_400,VNS_ETN,ETN,606,0,0.0
Problem_400,VNS_ETN,ETN,621,0,0.0
Problem_400,VNS_ETN,ETN,636,0,0.0
Problem_400,VNS_ETN,ETN,651,0,0.0
Problem_400,VNS_ETN,ETN,666,1,0.01712456392492977
Problem_400,VNS_ETN,ETN,681,0,0.0
Problem_400,VNS_ETN,ETN,696,0,0.0
Problem_400,VNS_ETN,ETN,711,0,0.0
Problem_400,VNS_ETN,ETN,726,0,0.0
Problem_400,VNS_ETN,ETN,757,0,0.0
Problem_400,VNS_ETN,ETN,772,1,0.0006403473535804171
Problem_400,VNS_ETN,ETN,787,0,0.0
Problem_400,VNS_ETN,ETN,802,0,0.0
Problem_400,VNS_ETN,ETN,817,0,0.0
Problem_400,VNS_ETN,ETN,832,0,0.0
Problem_400,VNS_ETN,ETN,863,0,0.0
Problem_400,VNS_ETN,ETN,878,1,0.07026352236013814
Problem_400,VNS_ETN,ETN,893,0,0.0
Problem_400,VNS_ETN,ETN,908,1,0.07382498404686606
Problem_400,VNS_ETN,ETN,923,0,0.0
Problem_400,VNS_ETN,ETN,938,1,0.488551020463157
Problem_400,VNS_ETN,ETN,953,0,0.0
Problem_400,VNS_ETN,ETN,968,0,0.0
Problem_400,VNS_ETN,ETN,983,0,0.0
Problem_400,VNS_ETN,ETN,998,0,0.0
Problem_400,VNS_ETN,ETN,1029,0,0.0
Problem_400,VNS_ETN,ETN,1044,0,0.0
Problem_400,VNS_ETN,ETN,1059,0,0.0
Problem_400,VNS_ETN,ETN,1074,0,0.0
Problem_400,VNS_ETN,RS,1105,1,0.13616455943916106
Problem_400,VNS_ETN,RS,1120,1,0.3891707242036582
Problem_400,VNS_ETN,RS,1135,1,0.6105261699424684
Problem_400,VNS_ETN,RS,1150,1,0.7237393775720558
Problem_400,VNS_ETN,RS,1165,1,2.3377801435058356
Problem_400,VNS_ETN,RS,1180,1,2.9920341633456413
Problem_400,VNS_ETN,RS,1195,1,3.256358254570014
Problem_400,VNS_ETN,RS,1210,1,3.4996669200947266
Problem_400,VNS_ETN,RS,1225,1,3.5376006994926934
Problem_400,VNS_ETN,RS,1240,1,3.576478343021936
Problem_400,VNS_ETN,RS,1255,1,3.788300407927979
Problem_400,VNS_ETN,RS,1270,1,3.801730571707114
Problem_400,VNS_ETN,RS,1285,1,3.803117595973002
Problem_400,VNS_ETN,RS,1300,1,3.9007228674780037
Problem_400,VNS_ETN,RS,1315,1,4.26051156338594
Problem_400,VNS_ETN,RS,1330,1,4.555832365278306
Problem_400,VNS_ETN,RS,1345,1,4.568846992230113
Problem_400,VNS_ETN,RS,1360,1,4.575272787385396
Problem_400,VNS_ETN,RS,1375,1,4.578062827997751
Problem_400,VNS_ETN,RS,1390,1,4.903798705720256
Problem_400,VNS_ETN,RS,1405,1,5.000705758314263
Problem_400,VNS_ETN,RS,1420,1,5.108155568846935
Problem_400,VNS_ETN,RS,1435,1,5.125270641629392
Problem_400,VNS_ETN,RS,1450,1,5.193899890619626
Problem_400,VNS_ETN,RS,1465,1,5.209217518399372
Problem_400,VNS_ETN,RS,1480,1,5.257729356258178
Problem_400,VNS_ETN,RS,1495,1,5.552667386808826
Problem_400,VNS_ETN,RS,1510,1,5.601538470505964
Problem_400,VNS_ETN,RS,1525,1,5.652253869078831
Problem_400,VNS_ETN,RS,1540,1,5.800285674367388
Problem_400,VNS_ETN,RS,1555,1,5.819669554221152
Problem_400,VNS_ETN,RS,1570,1,5.820089152658854
Problem_400,VNS_ETN,RS,1585,0,0.0
Problem_400,VNS_ETN,RS,1600,1,8.132988577417267
Problem_400,VNS_ETN,RS,1615,1,8.149138512277181
Problem_400,VNS_ETN,RS,1630,1,8.17684889426026
Problem_400,VNS_ETN,RS,1645,1,8.42978650331859
Problem_400,VNS_ETN,RS,1660,1,8.435772860754044
Problem_400,VNS_ETN,RS,1675,1,8.562867650229151
Problem_400,VNS_ETN,RS,1690,1,8.691604303878057
Problem_400,VNS_ETN,RS,1705,1,9.269779881895138
Problem_400,VNS_ETN,RS,1720,1,9.271330436189752
Problem_400,VNS_ETN,RS,1735,1,9.276443151625156
Problem_400,VNS_ETN,RS,1750,0,0.0
Problem_400,VNS_ETN,RS,1765,1,10.157701410557687
Problem_400,VNS_ETN,RS,1780,1,10.186759478760129
Problem_400,VNS_ETN,RS,1795,1,10.275455803778796
Problem_400,VNS_ETN,RS,1810,1,10.343583221513725
Problem_400,VNS_ETN,RS,1825,1,10.344910614805348
Problem_400,VNS_ETN,RS,1840,0,0.0
Problem_400,VNS_ETN,RS,1855,0,0.0
Problem_400,VNS_ETN,RS,1870,1,10.353726628220015
Problem_400,VNS_ETN,RS,1885,1,10.353812133409816
Problem_400,VNS_ETN,RS,1900,1,10.387813456423496
Problem_400,VNS_ETN,RS,1915,0,0.0
Problem_400,VNS_ETN,RS,1930,1,10.56217595292952
Problem_400,VNS_ETN,RS,1945,1,10.562231983694536
Problem_400,VNS_ETN,RS,1960,1,10.575170473698849
Problem_400,VNS_ETN,RS,1975,0,0.0
Problem_400,VNS_ETN,RS,1990,0,0.0
Problem_400,VNS_ETN,RS,2005,0,0.0
Problem_400,VNS_ETN,RS,2020,1,10.627051542523219
Problem_400,VNS_ETN,RS,2035,1,10.628995427595036
Problem_400,VNS_ETN,RS,2050,0,0.0
Problem_400,VNS_ETN,RS,2065,0,0.0
Problem_400,VNS_ETN,RS,2080,1,10.691268797615752
Problem_400,VNS_ETN,RS,2095,1,11.042445513655272
Problem_400,VNS_ETN,RS,2110,1,11.045269316910725
Problem_400,VNS_ETN,RS,2125,0,0.0
Problem_400,VNS_ETN,RS,2140,1,11.04727797075871
Problem_400,VNS_ETN,RS,2155,0,0.0
Problem_400,VNS_ETN,RS,2170,0,0.0
Problem_400,VNS_ETN,RS,2185,1,11.257799991884148
Problem_400,VNS_ETN,RS,2200,1,11.32121748432593
Problem_400,VNS_ETN,RS,2215,1,11.322459696113638
Problem_400,VNS_ETN,RS,2230,0,0.0
Problem_400,VNS_ETN,RS,2245,1,11.328146591252958
Problem_400,VNS_ETN,RS,2260,0,0.0
Problem_400,VNS_ETN,RS,2275,1,11.33052839702593
Problem_400,VNS_ETN,RS,2290,1,11.654697843758951
Problem_400,VNS_ETN,RS,2305,1,12.251780620035877
Problem_400,VNS_ETN,RS,2320,1,12.252550971861547
Problem_400,VNS_ETN,RS,2335,1,12.277952343165206
Problem_400,VNS_ETN,RS,2350,1,12.281455338227147
Problem_400,VNS_ETN,RS,2365,1,12.287947151912991
Problem_400,VNS_ETN,RS,2380,0,0.0
Problem_400,VNS_ETN,RS,2395,0,0.0
Problem_400,VNS_ETN,RS,2410,0,0.0
Problem_400,VNS_ETN,RS,2425,1,12.29922054730416
Problem_400,VNS_ETN,RS,2440,1,12.309598171651754
Problem_400,VNS_ETN,RS,2455,0,0.0
Problem_400,VNS_ETN,RS,2470,0,0.0
Problem_400,VNS_ETN,RS,2485,0,0.0
Problem_400,VNS_ETN,RS,2500,1,12.347300711267462
Problem_400,VNS_ETN,RS,2515,0,0.0
Problem_400,VNS_ETN,RS,2530,1,12.811055139614357
Problem_400,VNS_ETN,RS,2545,1,12.812518152700072
Problem_400,VNS_ETN,RS,2560,1,12.820959600244914
Problem_400,VNS_ETN,RS,2575,1,12.823714779671452
