Instance,Algorithm,Operator,Evaluations,Success,% Improvement
Problem_400,VNS_ETN,ETN,17,0,0.0
Problem_400,VNS_ETN,ETN,32,1,0.10170690027073737
Problem_400,VNS_ETN,ETN,47,0,0.0
Problem_400,VNS_ETN,ETN,62,0,0.0
Problem_400,VNS_ETN,ETN,77,1,0.10358653546195021
Problem_400,VNS_ETN,ETN,92,1,0.5965853533534026
Problem_400,VNS_ETN,ETN,107,0,0.0
Problem_400,VNS_ETN,ETN,122,1,0.5996632927647224
Problem_400,VNS_ETN,ETN,137,1,0.6028860312160894
Problem_400,VNS_ETN,ETN,152,1,0.835047269694115
Problem_400,VNS_ETN,ETN,167,0,0.0
Problem_400,VNS_ETN,ETN,182,0,0.0
Problem_400,VNS_ETN,ETN,197,1,0.8354866242770385
Problem_400,VNS_ETN,ETN,212,1,0.9460154069105841
Problem_400,VNS_ETN,ETN,227,1,0.9697974382103838
Problem_400,VNS_ETN,ETN,242,0,0.0
Problem_400,VNS_ETN,ETN,257,0,0.0
Problem_400,VNS_ETN,ETN,272,1,0.9698942110343124
Problem_400,VNS_ETN,ETN,287,0,0.0
Problem_400,VNS_ETN,ETN,302,1,1.35987742241308
Problem_400,VNS_ETN,ETN,317,1,1.458403434212507
Problem_400,VNS_ETN,ETN,332,0,0.0
Problem_400,VNS_ETN,ETN,347,0,0.0
Problem_400,VNS_ETN,ETN,362,0,0.0
Problem_400,VNS_ETN,ETN,377,1,1.5625662935932896
Problem_400,VNS_ETN,ETN,392,0,0.0
Problem_400,VNS_ETN,ETN,407,0,0.0
Problem_400,VNS_ETN,ETN,422,0,0.0
Problem_400,VNS_ETN,ETN,437,1,1.5691914334146528
Problem_400,VNS_ETN,ETN,452,0,0.0
Problem_400,VNS_ETN,ETN,467,0,0.0
Problem_400,VNS_ETN,ETN,482,0,0.0
Problem_400,VNS_ETN,ETN,497,0,0.0
Problem_400,VNS_ETN,ETN,528,1,0.1186896766703336
Problem_400,VNS_ETN,ETN,543,1,0.141707878825236
Problem_400,VNS_ETN,ETN,558,0,0.0
Problem_400,VNS_ETN,ETN,573,1,0.1419099992590034
Problem_400,VNS_ETN,ETN,588,1,0.14215948461460953
Problem_400,VNS_ETN,ETN,603,0,0.0
Problem_400,VNS_ETN,ETN,618,0,0.0
Problem_400,VNS_ETN,ETN,633,0,0.0
Problem_400,VNS_ETN,ETN,648,0,0.0
Problem_400,VNS_ETN,ETN,679,0,0.0
